성별,차유뮤,부동산유무,자녀수,연간소득,소득분류,교육,가정,집,업무용핸드폰유무,핸드폰유무,이메일유무,직업유형,가족수,신용등급,나이,연차,카드발급년수,능력,가족평균수입
0,0,1,1,17.286700342526494,0,4,0,1,0,0,1,8,3.0,1.0,31,4,0.0,19.156346749226007,11.320565693461432
1,1,1,0,17.8845373292961,4,1,1,1,0,1,0,10,2.0,2.0,52,12,1.0,19.13183963266868,12.323860125621126
0,0,1,0,17.086029653971018,0,4,1,1,0,1,0,14,2.0,0.0,41,5,3.0,11.78696158323632,11.525357861463222
0,1,1,0,16.834715236543456,2,1,1,1,0,0,0,10,2.0,2.0,41,5,2.0,9.187959397969898,11.274046255019954
0,0,1,2,17.373711716926124,4,4,1,1,0,0,1,6,4.0,1.0,36,13,1.0,14.666739095007877,11.119897691565695
0,0,0,0,17.527862392683378,4,4,2,1,0,0,1,3,1.0,2.0,48,5,3.0,16.114180478821364,12.660331092405906
1,1,1,1,16.96824662306297,0,1,1,1,0,0,1,18,3.0,2.0,41,4,3.0,10.84533349400494,11.002116507732016
0,0,1,0,16.414861416464955,4,4,1,1,0,0,0,11,2.0,2.0,43,3,0.0,6.055110279061604,10.854199034612414
1,1,1,1,16.680564564856205,0,1,1,1,0,0,0,10,3.0,2.0,32,0,4.0,11.39240506329114,10.714439990727769
0,1,1,1,16.834715236543456,0,4,1,1,0,0,0,0,3.0,0.0,32,5,5.0,11.170212765957446,10.86858749601736
0,0,1,0,16.96824662306297,4,4,1,1,0,0,0,18,2.0,2.0,37,16,0.0,9.110233829334954,11.407576060361786
1,0,0,0,16.96824662306297,4,4,1,1,0,1,0,18,2.0,2.0,54,4,2.0,8.33217608665463,11.407576060361786
0,0,0,0,16.834715236543456,0,4,0,1,0,0,0,8,2.0,0.0,41,3,1.0,9.513742071881609,11.274046255019954
1,1,0,0,17.191390165830175,4,4,1,2,1,1,1,18,2.0,2.0,39,1,1.0,15.014013078873615,11.630717389475995
0,0,1,1,17.191390165830175,0,4,1,1,0,0,0,13,3.0,2.0,38,10,0.0,12.674628210905814,11.225256725762891
1,1,0,1,16.680564564856205,4,1,1,1,1,0,0,8,3.0,2.0,48,9,1.0,6.369126250235894,10.714439990727769
1,1,0,0,16.49824301945826,0,4,1,5,1,1,0,4,2.0,2.0,60,6,3.0,4.603863152725487,10.937579097686422
