성별,차유뮤,부동산유무,자녀수,연간소득,소득분류,교육,가정,집,업무용핸드폰유무,핸드폰유무,이메일유무,직업유형,가족수,신용등급,나이,연차,카드발급년수,능력,가족평균수입
0,0,1,1,17.286700342526494,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0,0,1,Laborers,3.0,1.0,31,4,0.0,19.156346749226007,11.320565693461432
1,1,1,0,17.8845373292961,Working,Higher education,Married,House / apartment,0,1,0,Managers,2.0,2.0,52,12,1.0,19.13183963266868,12.323860125621126
0,0,1,0,17.086029653971018,Commercial associate,Secondary / secondary special,Married,House / apartment,0,1,0,Sales staff,2.0,0.0,41,5,3.0,11.786961583236321,11.525357861463222
0,1,1,0,16.834715236543456,State servant,Higher education,Married,House / apartment,0,0,0,Managers,2.0,2.0,41,5,2.0,9.187959397969898,11.274046255019954
0,0,1,2,17.373711716926124,Working,Secondary / secondary special,Married,House / apartment,0,0,1,High skill tech staff,4.0,1.0,36,13,1.0,14.666739095007877,11.119897691565697
0,0,0,0,17.527862392683378,Working,Secondary / secondary special,Separated,House / apartment,0,0,1,Core staff,1.0,2.0,48,5,3.0,16.114180478821364,12.660331092405906
1,1,1,1,16.96824662306297,Commercial associate,Higher education,Married,House / apartment,0,0,1,no_working,3.0,2.0,41,4,3.0,10.84533349400494,11.002116507732017
0,0,1,0,16.414861416464955,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Medicine staff,2.0,2.0,43,3,0.0,6.055110279061604,10.854199034612414
1,1,1,1,16.680564564856205,Commercial associate,Higher education,Married,House / apartment,0,0,0,Managers,3.0,2.0,32,0,4.0,11.39240506329114,10.714439990727769
0,1,1,1,16.834715236543456,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Accountants,3.0,0.0,32,5,5.0,11.170212765957446,10.868587496017359
0,0,1,0,16.96824662306297,Working,Secondary / secondary special,Married,House / apartment,0,0,0,no_working,2.0,2.0,37,16,0.0,9.110233829334954,11.407576060361786
1,0,0,0,16.96824662306297,Working,Secondary / secondary special,Married,House / apartment,0,1,0,no_working,2.0,2.0,54,4,2.0,8.33217608665463,11.407576060361786
0,0,0,0,16.834715236543456,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,Laborers,2.0,0.0,41,3,1.0,9.513742071881607,11.274046255019954
1,1,0,0,17.191390165830175,Working,Secondary / secondary special,Married,Municipal apartment,1,1,1,no_working,2.0,2.0,39,1,1.0,15.014013078873615,11.630717389475995
0,0,1,1,17.191390165830175,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Realty agents,3.0,2.0,38,10,0.0,12.674628210905814,11.225256725762893
1,1,0,1,16.680564564856205,Working,Higher education,Married,House / apartment,1,0,0,Laborers,3.0,2.0,48,9,1.0,6.369126250235894,10.714439990727769
1,1,0,0,16.49824301945826,Commercial associate,Secondary / secondary special,Married,With parents,1,1,0,Drivers,2.0,2.0,60,6,3.0,4.603863152725487,10.937579097686422
1,1,0,0,17.191390165830175,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Managers,2.0,2.0,36,0,2.0,16.772269847185985,11.630717389475995
1,1,1,0,16.680564564856205,Commercial associate,Higher education,Married,House / apartment,1,0,1,Laborers,2.0,0.0,32,9,1.0,8.87340607335349,11.119897691565697
1,1,1,1,17.373711716926124,Working,Secondary / secondary special,Married,House / apartment,0,1,0,Laborers,3.0,0.0,39,4,1.0,16.751457997270133,11.407576060361786
0,1,0,0,17.191390165830175,Working,Higher education,Civil marriage,House / apartment,0,0,0,Managers,2.0,2.0,39,6,1.0,13.336494576492205,11.630717389475995
0,1,0,0,17.191390165830175,Working,Higher education,Single / not married,House / apartment,1,1,0,Accountants,1.0,2.0,55,2,1.0,10.60220525869381,12.323860125621126
0,0,1,0,17.086029653971018,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Sales staff,2.0,2.0,37,9,3.0,11.874047144364958,11.525357861463222
1,1,1,0,16.285049815244996,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,2.0,1.0,59,6,1.0,3.7677194727679684,10.7243901015638
0,0,1,2,16.370409657272383,Commercial associate,Higher education,Married,House / apartment,0,1,0,Accountants,4.0,2.0,34,1,1.0,7.508532423208191,10.11662117122102
0,0,0,0,15.98741744127631,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Sales staff,2.0,1.0,27,5,0.0,5.701495058704283,10.426765325491356
1,0,0,0,17.286700342526494,Working,Higher education,Civil marriage,House / apartment,0,0,0,Drivers,2.0,2.0,41,0,2.0,16.15113547376664,11.726026761206368
1,1,0,0,17.77917681553761,Working,Higher education,Married,House / apartment,1,1,0,High skill tech staff,2.0,0.0,51,8,0.0,18.531228551818806,12.218500103788143
0,1,1,0,17.453754422408117,Commercial associate,Higher education,Married,House / apartment,0,0,0,Sales staff,2.0,2.0,50,9,4.0,13.361655474852679,11.893079602677565
0,0,1,0,18.14690158981882,Commercial associate,Secondary / secondary special,Married,House / apartment,0,1,0,no_working,2.0,2.0,51,5,1.0,28.03335250143761,12.586223364451623
0,1,1,2,17.49887485652836,State servant,Higher education,Married,House / apartment,0,0,0,Core staff,4.0,2.0,37,10,3.0,17.47972123843254,11.245059091624615
0,0,0,1,16.370409657272383,Working,Secondary / secondary special,Married,House / apartment,0,0,0,no_working,3.0,1.0,42,1,0.0,6.168993020937188,10.404293143019792
0,1,1,0,16.646663015145354,Working,Secondary / secondary special,Married,House / apartment,0,1,0,Laborers,2.0,2.0,44,25,2.0,5.112033845189596,11.085996650738002
0,0,1,0,17.191390165830175,Commercial associate,Higher education,Single / not married,House / apartment,0,0,0,Core staff,1.0,1.0,46,1,0.0,12.73128501103378,12.323860125621126
1,1,0,1,17.373711716926124,Commercial associate,Higher education,Married,House / apartment,0,0,0,Managers,3.0,2.0,31,3,1.0,21.1864406779661,11.407576060361786
0,1,1,0,17.191390165830175,Working,Higher education,Married,House / apartment,0,1,0,Core staff,2.0,1.0,47,8,3.0,10.946241790318657,11.630717389475995
1,1,1,0,17.527862392683378,Working,Higher education,Married,House / apartment,0,0,0,Managers,2.0,2.0,42,9,1.0,16.646409131744438,11.967187086434018
1,1,0,0,15.98741744127631,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,0,0,0,Security staff,1.0,2.0,24,1,2.0,6.913858445150057,11.119897691565697
0,0,1,0,15.476591893483718,Working,Secondary / secondary special,Married,House / apartment,1,0,0,Cleaning staff,2.0,2.0,34,13,0.0,2.2926691197282763,9.915959454031448
1,0,1,1,16.74510308243252,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,3.0,1.0,37,7,0.0,8.704061895551257,10.778977123006351
0,0,1,2,16.834715236543456,Commercial associate,Higher education,Married,House / apartment,0,0,0,High skill tech staff,4.0,1.0,33,3,0.0,11.796869148378399,10.580911772630838
0,0,1,0,16.834715236543456,Working,Higher education,Married,House / apartment,0,0,1,Medicine staff,2.0,2.0,42,8,4.0,8.54538549183441,11.274046255019954
1,0,1,0,16.169738979076914,Commercial associate,Higher education,Single / not married,House / apartment,0,1,0,Laborers,1.0,2.0,27,5,3.0,6.863243518047788,11.302216779257382
1,1,0,2,17.086029653971018,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,4.0,2.0,43,10,4.0,10.283886039307298,10.83222055730017
0,0,0,0,17.63607597481899,Commercial associate,Higher education,Married,House / apartment,0,1,0,no_working,2.0,2.0,59,2,0.0,15.493268594129331,12.075400019877522
0,0,1,1,15.98741744127631,Working,Secondary / secondary special,Married,House / apartment,1,1,0,Sales staff,3.0,2.0,28,0,2.0,6.386602327561737,10.021315031649332
0,0,0,0,16.680564564856205,Working,Higher education,Single / not married,House / apartment,0,0,0,Core staff,1.0,1.0,26,1,0.0,13.0586186883343,11.813037464800539
0,1,1,0,16.49824301945826,Working,Secondary / secondary special,Married,House / apartment,1,0,0,Sales staff,2.0,1.0,34,0,1.0,8.706756442999767,10.937579097686422
0,1,1,1,17.191390165830175,Working,Higher education,Separated,House / apartment,0,0,0,Core staff,2.0,0.0,40,4,0.0,13.646288209606986,11.630717389475995
0,0,1,0,17.286700342526494,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,Laborers,2.0,1.0,48,0,0.0,13.69370366271993,11.726026761206368
1,1,1,0,16.680564564856205,Working,Secondary / secondary special,Married,House / apartment,0,0,1,Sales staff,2.0,0.0,28,2,0.0,11.9723306136928,11.119897691565697
1,1,1,1,16.49824301945826,Working,Secondary / secondary special,Married,House / apartment,1,0,1,Drivers,3.0,2.0,34,1,3.0,8.639225925357088,10.53212287826962
0,0,1,0,17.373711716926124,Commercial associate,Secondary / secondary special,Widow,House / apartment,1,1,1,Core staff,1.0,2.0,36,0,4.0,19.99259533506109,12.506180941677357
0,1,1,0,17.661393782255395,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Managers,2.0,2.0,55,14,3.0,13.932427725531173,12.100717685412471
1,0,0,0,17.8845373292961,Commercial associate,Incomplete higher,Married,House / apartment,1,1,0,Managers,2.0,2.0,39,11,4.0,24.18054809242343,12.323860125621126
0,0,1,0,15.581952390148196,State servant,Secondary / secondary special,Married,House / apartment,1,0,0,Cleaning staff,2.0,2.0,55,25,2.0,1.520064856100527,10.021315031649332
0,1,1,0,17.086029653971018,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Private service staff,2.0,2.0,51,8,1.0,9.31805632247377,11.525357861463222
1,1,1,1,16.680564564856205,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,3.0,2.0,33,1,0.0,10.48055275211552,10.714439990727769
0,0,1,0,17.086029653971018,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0,0,0,High skill tech staff,1.0,1.0,52,9,1.0,8.927784146018869,12.218500103788143
1,0,1,0,17.8845373292961,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Security staff,2.0,2.0,64,5,4.0,17.468265983463375,12.323860125621126
1,1,1,0,16.834715236543456,Working,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,Drivers,2.0,2.0,25,3,3.0,14.87954652810581,11.274046255019954
1,1,1,0,17.8845373292961,Commercial associate,Higher education,Single / not married,House / apartment,0,0,1,Sales staff,1.0,2.0,29,1,0.0,39.38730853391685,13.017005083966255
0,0,0,0,17.373711716926124,State servant,Secondary / secondary special,Separated,House / apartment,0,1,1,Medicine staff,1.0,2.0,53,33,2.0,8.518693800283957,12.506180941677357
0,0,1,0,16.680564564856205,Working,Higher education,Married,House / apartment,0,0,0,Private service staff,2.0,2.0,60,23,0.0,4.411332222331144,11.119897691565697
0,0,1,0,16.169738979076914,Working,Secondary / secondary special,Married,House / apartment,1,1,0,Managers,2.0,1.0,53,8,0.0,3.56718192627824,10.609081944147828
0,0,0,1,16.680564564856205,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Managers,3.0,2.0,33,1,1.0,10.487065951992543,10.714439990727769
1,1,0,0,17.527862392683378,Working,Higher education,Married,House / apartment,1,1,0,Managers,2.0,2.0,43,10,1.0,16.116653875671528,11.967187086434018
1,1,1,0,17.191390165830175,Commercial associate,Higher education,Single / not married,House / apartment,0,1,0,Sales staff,1.0,0.0,43,6,0.0,12.141816415735795,12.323860125621126
1,1,1,0,16.680564564856205,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,2.0,2.0,27,7,0.0,10.722795869737887,11.119897691565697
0,0,0,1,16.275099485238066,Working,Secondary / secondary special,Married,House / apartment,0,1,0,no_working,3.0,2.0,44,5,3.0,4.978702218288433,10.308985993422082
0,1,0,1,17.49887485652836,Working,Higher education,Married,House / apartment,0,0,0,no_working,3.0,1.0,25,4,0.0,27.84856206771023,11.532737896139919
0,0,1,0,16.805727701106676,Working,Higher education,Single / not married,House / apartment,0,1,0,Core staff,1.0,2.0,29,1,1.0,13.368283093053735,11.938199736300925
1,1,1,1,17.191390165830175,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Drivers,3.0,2.0,44,6,3.0,12.131996117761242,11.225256725762893
0,0,0,0,17.040567281661083,Working,Secondary / secondary special,Single / not married,House / apartment,0,1,0,Laborers,1.0,2.0,48,0,0.0,10.733899151273091,12.173037959397275
1,1,1,2,16.680564564856205,Working,Higher education,Married,House / apartment,0,0,1,Managers,4.0,2.0,31,8,3.0,9.305210918114144,10.426765325491356
0,1,1,1,17.722018402814918,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Managers,3.0,2.0,39,7,0.0,22.410358565737052,11.755879486687116
0,0,1,0,17.086029653971018,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Sales staff,2.0,2.0,44,1,2.0,12.019944203715795,11.525357861463222
0,0,1,0,16.49824301945826,Working,Higher education,Married,House / apartment,0,1,0,Sales staff,2.0,2.0,50,15,3.0,4.684572142410993,10.937579097686422
0,0,1,2,16.74510308243252,Working,Secondary / secondary special,Married,House / apartment,1,1,0,Cooking staff,4.0,1.0,33,5,0.0,10.107391029690461,10.491301994830229
0,1,1,2,17.422501879738885,State servant,Higher education,Married,House / apartment,0,0,0,Core staff,4.0,2.0,35,11,3.0,16.654917166020443,11.16868715027796
0,0,1,0,17.086029653971018,Working,Secondary / secondary special,Married,House / apartment,0,0,0,High skill tech staff,2.0,2.0,53,17,4.0,7.892582920840317,11.525357861463222
0,1,1,2,16.275099485238066,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Accountants,4.0,2.0,42,9,4.0,4.7664442326024785,10.021315031649332
1,0,1,0,17.661393782255395,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Managers,2.0,2.0,34,11,3.0,21.78912964532139,12.100717685412471
0,1,0,1,16.94292881617445,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,0,0,0,Laborers,2.0,2.0,32,13,3.0,10.514018691588785,11.382258537274573
0,0,1,1,16.49824301945826,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,3.0,1.0,37,14,3.0,5.93291846851598,10.53212287826962
1,0,0,1,17.527862392683378,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,3.0,2.0,48,4,0.0,16.33309136160946,11.561725152903833
0,0,1,0,17.469021894140443,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,Laborers,1.0,0.0,42,8,0.0,15.83746600543913,12.601490784782536
0,1,0,0,17.086029653971018,Commercial associate,Secondary / secondary special,Civil marriage,With parents,0,1,0,no_working,2.0,0.0,38,14,2.0,10.35381940893752,11.525357861463222
0,1,0,1,17.733714442344265,Working,Higher education,Married,House / apartment,0,0,0,Managers,3.0,2.0,36,7,1.0,24.58391563969,11.767575435251748
1,1,0,1,17.596855262542327,Commercial associate,Higher education,Separated,House / apartment,0,1,0,Managers,2.0,0.0,42,0,1.0,21.73353081331702,12.036179534643145
0,1,0,0,16.834715236543456,Commercial associate,Secondary / secondary special,Married,House / apartment,0,1,0,no_working,2.0,2.0,37,2,3.0,10.808399670601153,11.274046255019954
1,1,1,0,17.661393782255395,Working,Higher education,Married,House / apartment,0,1,0,Managers,2.0,2.0,61,5,0.0,14.760147601476016,12.100717685412471
0,1,1,0,17.322418424038048,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,1,Core staff,2.0,2.0,37,2,3.0,17.224012892828362,11.761744560273572
0,1,0,0,16.96824662306297,Working,Secondary / secondary special,Married,House / apartment,0,0,0,no_working,2.0,2.0,28,3,0.0,15.420200462606013,11.407576060361786
0,1,0,0,17.086029653971018,State servant,Secondary / secondary special,Married,House / apartment,0,1,0,Medicine staff,2.0,2.0,53,32,0.0,6.42082567061957,11.525357861463222
0,0,0,0,17.286700342526494,Working,Higher education,Married,House / apartment,1,1,0,Managers,2.0,1.0,38,20,0.0,11.492384843982169,11.726026761206368
0,0,1,2,16.49824301945826,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,4.0,1.0,35,6,4.0,7.32755813196118,10.244449694430193
1,1,1,0,17.661393782255395,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Drivers,2.0,2.0,42,0,2.0,22.991442074338995,12.100717685412471
0,1,1,0,17.661393782255395,Working,Secondary / secondary special,Separated,House / apartment,1,0,0,Medicine staff,1.0,2.0,29,1,2.0,32.22630024169725,12.793862088206213
1,1,1,0,16.96824662306297,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Drivers,2.0,1.0,49,9,2.0,8.39121719267167,11.407576060361786
0,0,0,0,16.94292881617445,Working,Secondary / secondary special,Married,House / apartment,1,0,0,no_working,2.0,2.0,51,30,3.0,5.877231171092729,11.382258537274573
1,0,1,1,16.680564564856205,Working,Secondary / secondary special,Separated,House / apartment,0,0,0,Laborers,2.0,2.0,45,2,3.0,7.666969559291231,11.119897691565697
1,0,1,2,16.834715236543456,Working,Secondary / secondary special,Married,House / apartment,0,0,0,no_working,4.0,2.0,27,3,3.0,13.655280041616091,10.580911772630838
1,0,1,1,17.086029653971018,State servant,Higher education,Married,House / apartment,0,0,0,Core staff,3.0,2.0,29,6,3.0,15.445046144458852,11.119897691565697
0,1,1,1,16.051955955291376,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Sales staff,3.0,2.0,46,3,0.0,3.9126181936746005,10.085850775128717
0,0,0,1,18.066858883241053,Working,Secondary / secondary special,Separated,House / apartment,1,0,0,Managers,2.0,2.0,44,5,5.0,29.261948629023518,12.506180941677357
1,1,1,0,17.0170367851974,Working,Secondary / secondary special,Married,House / apartment,0,0,1,Security staff,2.0,1.0,57,2,0.0,8.732212160413972,11.456365695436427
0,0,1,0,16.71335438584113,State servant,Higher education,Married,House / apartment,1,1,0,no_working,2.0,1.0,57,2,0.0,6.366374589266155,11.152687036498403
0,0,1,1,17.191390165830175,Working,Secondary / secondary special,Separated,House / apartment,0,0,0,no_working,2.0,1.0,38,10,0.0,12.591639151603335,11.630717389475995
1,1,1,1,17.8845373292961,Commercial associate,Secondary / secondary special,Married,House / apartment,0,1,1,Core staff,3.0,2.0,49,1,5.0,23.871412657153467,11.918397239722838
0,0,0,0,16.680564564856205,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Private service staff,2.0,0.0,42,2,0.0,8.247800586510264,11.119897691565697
1,0,1,1,16.680564564856205,Working,Secondary / secondary special,Married,House / apartment,0,0,0,no_working,3.0,1.0,43,22,4.0,5.647826632640254,10.714439990727769
0,0,1,0,17.191390165830175,Commercial associate,Higher education,Married,House / apartment,0,0,1,Sales staff,2.0,2.0,29,2,1.0,19.07587961000424,11.630717389475995
1,0,1,0,16.49824301945826,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Drivers,2.0,1.0,29,3,0.0,9.31214303451701,10.937579097686422
0,1,0,0,17.527862392683378,State servant,Higher education,Married,House / apartment,1,0,0,Managers,2.0,2.0,49,27,2.0,11.291536724378965,11.967187086434018
0,0,0,0,16.834715236543456,Commercial associate,Higher education,Single / not married,Rented apartment,0,0,0,no_working,1.0,1.0,32,3,1.0,11.931818181818182,11.967187086434018
